Brigade,latitude,longitude
YANKALILLA ,-35.49426,138.36260
PORT WAKEFIELD ,-34.18535,138.15538
LITTLEHAMPTON ,-35.04822,138.86586
WILLIAMSTOWN ,-37.86118,144.88986
GLOSSOP ,-34.27009,140.52791
MARION BAY ,-35.23804,136.97907
STREAKY BAY ,-32.73852,134.61536
WOODSIDE ,-34.95139,138.87586
TAILEM BEND ,-35.25405,139.45303
MACCLESFIELD ,-37.88188,145.48988
ANGASTON ,-34.50277,139.04904
GAWLER RIVER ,-34.61616,138.65192
PARAWA ,-35.55967,138.33647
MOUNT PLEASANT ,-34.77555,139.04794
TWO WELLS ,-34.59523,138.51861
GOOLWA ,-35.50208,138.78205
BIRDWOOD ,-34.81880,138.96385
CEDUNA ,-32.14776,134.09774
STIRLING NORTH ,-32.51270,137.85687
WILLALOOKA ,-36.39186,140.35178
WOOLSHEDS/WASLEYS ,-34.48170,138.64472
KERSBROOK ,-34.78244,138.85224
MARCOLLAT ,-36.57824,140.33822
KADINA ,-33.96478,137.71590
QUORN AND DISTRICTS ,-32.34541,138.04132
MOORAK ,-37.86776,140.68634
ROBE TOWN ,-37.16441,139.76236
BELAIR ,-34.99938,138.62550
SALISBURY ,-34.76845,138.61175
BORDERTOWN ,-36.31083,140.77318
MILLICENT ,-37.59494,140.35265
CONCORDIA ,-34.57645,138.79070
SPALDING ,-33.49865,138.60763
MYLOR ,-35.04246,138.75915
MURRAY BRIDGE ,-35.20010,139.21709
MEADOWS ,-34.08167,151.08444
WAIKERIE ,-34.18037,139.98639
BURNSIDE ,-34.94448,138.64727
BARMERA ,-34.23127,140.47399
MONASH ,-35.41574,149.09069
CADELL ,-34.03734,139.76260
SWAN REACH ,-34.56735,139.59733
BOWHILL AND DISTRICTS ,-34.90800,139.61991
COWELL ,-33.68415,136.92370
MONARTO ,-35.08455,139.12093
MANNUM ,-34.91345,139.31258
SEAFORD ,-38.10398,145.12823
JAMESTOWN ,-33.20749,138.60347
PORT ELLIOT ,-35.53100,138.68063
CAREY GULLY ,-34.96322,138.76935
BALAKLAVA ,-34.14480,138.41619
KANGARILLA ,-35.15489,138.67139
UPPER STURT ,-35.02193,138.68630
BRADBURY ,-34.08167,150.81778
MILANG ,-35.40534,138.97133
ATHELSTONE ,-34.87148,138.70545
BOOBOROWIE ,-33.56255,138.75955
WILLUNGA ,-35.27117,138.55542
DALKEITH ,-31.99570,115.79994
WANDILO ,-37.73695,140.77308
ONE TREE HILL ,-25.28604,151.90434
CHERRYVILLE ,-34.91151,138.76533
CUDLEE CREEK ,-34.85567,138.84716
REGION 6 OPERATIONS ,-34.59574,150.52103
PARNDANA ,-35.78349,137.25602
FAR WEST ,-34.82418,150.69667
MCCALLUM ,-35.99046,140.66586
WIRRABARA ,-33.03281,138.26970
CAPE JERVIS ,-35.60617,138.10535
BRIDGEWATER ,-42.73477,147.23628
ECHUNGA ,-35.10359,138.79611
PARINGA ,-34.17863,140.78616
KINGSCOTE ,-35.65248,137.63675
ALDGATE ,-35.01524,138.73518
KONGAL ,-36.38054,140.46028
STIRLING ,-35.00470,138.71633
KINGSTON ,-34.13023,116.34529
