Brigade,latitude,longitude
YANKALILLA ,-35.5,-138.35
PORT WAKEFIELD ,-34.2,-138.15
LITTLEHAMPTON ,-35.05,-138.85
WILLIAMSTOWN ,-37.85,-144.9
GLOSSOP ,-34.25,-140.55
MARION BAY ,-35.25,-137
STREAKY BAY ,-32.75,-134.6
WOODSIDE ,-34.95,-138.9
TAILEM BEND ,-35.25,-139.45
MACCLESFIELD ,-37.9,-145.5
ANGASTON ,-34.5,-139.05
GAWLER RIVER ,-34.6,-138.65
PARAWA ,-35.55,-138.35
MOUNT PLEASANT ,-34.8,-139.05
TWO WELLS ,-34.6,-138.5
GOOLWA ,-35.5,-138.8
BIRDWOOD ,-34.8,-138.95
CEDUNA ,-32.15,-134.1
STIRLING NORTH ,-32.5,-137.85
WILLALOOKA ,-36.4,-140.35
WOOLSHEDS/WASLEYS ,-34.5,-138.65
KERSBROOK ,-34.8,-138.85
MARCOLLAT ,-36.6,-140.35
KADINA ,-33.95,-137.7
QUORN AND DISTRICTS ,-32.35,-138.05
MOORAK ,-37.85,-140.7
ROBE TOWN ,-37.15,-139.75
BELAIR ,-35,-138.65
SALISBURY ,-34.75,-138.6
BORDERTOWN ,-36.3,-140.75
MILLICENT ,-37.6,-140.35
CONCORDIA ,-34.6,-138.8
SPALDING ,-33.5,-138.6
MYLOR ,-35.05,-138.75
MURRAY BRIDGE ,-35.2,-139.2
MEADOWS ,-34.1,-151.1
WAIKERIE ,-34.2,-140
BURNSIDE ,-34.95,-138.65
BARMERA ,-34.25,-140.45
MONASH ,-35.4,-149.1
CADELL ,-34.05,-139.75
SWAN REACH ,-34.55,-139.6
BOWHILL AND DISTRICTS ,-34.9,-139.6
COWELL ,-33.7,-136.9
MONARTO ,-35.1,-139.1
MANNUM ,-34.9,-139.3
SEAFORD ,-38.1,-145.15
JAMESTOWN ,-33.2,-138.6
PORT ELLIOT ,-35.55,-138.7
CAREY GULLY ,-34.95,-138.75
BALAKLAVA ,-34.15,-138.4
KANGARILLA ,-35.15,-138.65
UPPER STURT ,-35,-138.7
BRADBURY ,-34.1,-150.8
MILANG ,-35.4,-138.95
ATHELSTONE ,-34.85,-138.7
BOOBOROWIE ,-33.55,-138.75
WILLUNGA ,-35.25,-138.55
DALKEITH ,-32,-115.8
WANDILO ,-37.75,-140.75
ONE TREE HILL ,-25.3,-151.9
CHERRYVILLE ,-34.9,-138.75
CUDLEE CREEK ,-34.85,-138.85
REGION 6 OPERATIONS ,-34.6,-150.5
PARNDANA ,-35.8,-137.25
FAR WEST ,-34.8,-150.7
MCCALLUM ,-36,-140.65
WIRRABARA ,-33.05,-138.25
CAPE JERVIS ,-35.6,-138.1
